Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C11,MT,13522,6/19/2012,2012,6,1,1,119,16.7,1,NA,NA,NA,68,NA,2011,2011,C11,1,13522,LIdri,LIdri_MT,3
C11,MT,13522,9/10/2012,2012,9,1,1,129,19,1,NA,NA,NA,NA,NA,2011,2011,C11,1,13522,LIdri,LIdri_MT,3
C11,MT,13526,6/19/2012,2012,6,1,1,119,16.6,1,NA,NA,NA,75,NA,2011,2011,C11,1,13526,LIdri,LIdri_MT,3
C11,MT,13526,9/10/2012,2012,9,1,2,129,18.9,1,NA,NA,NA,NA,NA,2011,2011,C11,1,13526,LIdri,LIdri_MT,3
C11,MT,13526,9/16/2013,2013,9,1,2,167,45.1,2,NA,NA,NA,NA,NA,2011,2011,C11,2,13526,LIdri,LIdri_MT,3
C10,MT,18524,9/3/2014,2014,9,1,1,217,108.3,4,NA,1,1,NA,NA,2010,2011,C11,3,13526,LIdri,LIdri_MT,3
C11,MT,13527,6/19/2012,2012,6,1,1,124,20.8,1,NA,NA,NA,74,NA,2011,2011,C11,1,13527,LIdri,LIdri_MT,3
C11,MT,13528,6/19/2012,2012,6,1,1,115,15.1,1,NA,1,NA,70,NA,2011,2011,C11,1,13528,LIdri,LIdri_MT,3
C11,MT,13528,9/10/2012,2012,9,1,2,126,18.2,1,NA,NA,NA,NA,NA,2011,2011,C11,1,13528,LIdri,LIdri_MT,3
C11,MT,13530,6/19/2012,2012,6,1,2,120,16.9,1,NA,NA,NA,86,NA,2011,2011,C11,1,13530,LIdri,LIdri_MT,3
C11,MT,13531,6/19/2012,2012,6,1,1,117,16.7,1,NA,NA,NA,60,NA,2011,2011,C11,1,13531,LIdri,LIdri_MT,3
C11,MT,13531,9/10/2012,2012,9,1,1,142,31.5,1,NA,NA,NA,NA,NA,2011,2011,C11,1,13531,LIdri,LIdri_MT,3
C11,MT,13531,6/20/2013,2013,6,1,1,170,53.3,2,NA,NA,NA,238,NA,2011,2011,C11,2,13531,LIdri,LIdri_MT,3
C11,MT,13532,6/19/2012,2012,6,1,2,117,15.3,1,NA,NA,NA,87,NA,2011,2011,C11,1,13532,LIdri,LIdri_MT,3
C11,MT,13535,6/19/2012,2012,6,1,1,117,17,1,NA,NA,NA,59,NA,2011,2011,C11,1,13535,LIdri,LIdri_MT,3
C11,MT,13538,6/19/2012,2012,6,1,1,124,20.1,1,NA,1,NA,61,NA,2011,2011,C11,1,13538,LIdri,LIdri_MT,3
