Num,Mark,Date,Month,Year,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,Comment,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_023,NA,2012,2012,C12,0,16474
811,16480,9/18/13,9,2013,2,1,115,14.4,1,C12,NA,NA,NA,NA,NA,2012,2012,C12,1,16480
875,16493,9/2/14,9,2014,1,1,214,103.8,5,C09,NA,NA,NA,NA,NA,2009,2009,C09,5,16493
854,16494,9/2/14,9,2014,1,1,167,45.2,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,16494
790,16496,9/18/13,9,2013,1,1,116,14,1,C12,NA,NA,NA,NA,NA,2012,2012,C12,1,16496
867,16496,9/2/14,9,2014,1,1,141,26.8,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,16496
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_017,NA,2012,2011,C11,1,16513
850,16518,9/2/14,9,2014,1,1,157,36.5,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,16518
407,16900,9/13/10,9,2010,1,1,142,30,1,C09,NA,1,NA,NA,NA,2009,2009,C09,1,16900
385,16902,9/13/10,9,2010,1,1,217,102,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,16902
394,16903,9/13/10,9,2010,1,1,165,43,2,C08,NA,1,NA,NA,NA,2008,2008,C08,2,16903
445,16906,9/13/10,9,2010,1,1,115,15,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16906
518,16906,9/14/11,9,2011,1,1,156,36,2,C09,NA,NA,NA,NA,NA,2009,2009,C09,2,16906
582,2574,9/10/12,9,2012,1,1,202,84.1,3,C09,NA,1,1,NA,NA,2009,2009,C09,3,16906
444,16911,9/13/10,9,2010,1,1,130,22,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16911
439,16922,9/13/10,9,2010,1,1,169,47,2,C08,NA,NA,NA,NA,NA,2008,2008,C08,2,16922
404,16923,9/13/10,9,2010,1,1,188,66,2,C08,NA,NA,NA,NA,NA,2008,2008,C08,2,16923
484,16923,9/14/11,9,2011,1,1,209,95,3,C08,NA,NA,NA,NA,NA,2008,2008,C08,3,16923
562,16923,9/10/12,9,2012,1,1,235,143.3,4,C08,NA,NA,NA,NA,NA,2008,2008,C08,4,16923
406,16924,9/13/10,9,2010,1,1,129,20,1,C09,NA,NA,NA,NA,NA,2009,2009,C09,1,16924
379,16925,9/13/10,9,2010,1,1,151,34,2,C08,NA,1,NA,NA,NA,2008,2008,C08,2,16925
387,16928,9/13/10,9,2010,1,1,154,33,2,C08,NA,1,NA,NA,NA,2008,2008,C08,2,16928
451,16928,9/14/11,9,2011,1,1,192,71,3,C08,NA,NA,NA,NA,NA,2008,2008,C08,3,16928
603,16928,9/10/12,9,2012,1,1,232,118.1,4,C08,NA,NA,NA,NA,NA,2008,2008,C08,4,16928
848,16928,9/2/14,9,2014,1,1,259,157.5,6,C08,NA,NA,NA,NA,NA,2008,2008,C08,6,16928
402,16931,9/13/10,9,2010,1,1,171,47,2,C08,NA,1,NA,NA,NA,2008,2008,C08,2,16931
491,16931,9/14/11,9,2011,1,1,201,79,3,C08,NA,NA,NA,NA,NA,2008,2008,C08,3,16931
593,16931,9/10/12,9,2012,1,1,227,110,4,C08,NA,NA,NA,NA,NA,2008,2008,C08,4,16931
