Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
93,12868,9/12/07,2007,9,1,2,155,34.8,1,C06,NA,1,NA,NA,2006,2006,C06,1,12868
91,12869,9/12/07,2007,9,1,2,132,20.5,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12869
168,12869,9/18/08,2008,9,1,2,232,116,2,C06,NA,NA,NA,NA,2006,2006,C06,2,12869
110,12871,9/12/07,2007,9,1,2,162,40.5,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12871
109,12873,9/12/07,2007,9,1,2,270,177,5,C02,NA,1,NA,NA,2002,2002,C02,5,12873
87,12874,9/12/07,2007,9,1,2,152,30.4,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12874
108,12875,9/12/07,2007,9,1,2,149,32.9,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12875
95,12877,9/12/07,2007,9,1,2,150,31.5,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12877
111,12879,9/12/07,2007,9,1,2,198,66.6,3,C04,NA,1,NA,NA,2004,2004,C04,3,12879
169,12901,9/18/08,2008,9,1,2,184,61.6,1,C07,NA,NA,NA,NA,2007,2007,C07,1,12901
171,12944,9/18/08,2008,9,1,2,261,183.6,2,C06,NA,NA,NA,NA,2006,2006,C06,2,12944
172,12952,9/18/08,2008,9,1,2,179,55.5,1,C07,NA,NA,NA,NA,2007,2007,C07,1,12952
481,15901,9/2/14,2014,9,2,2,154,37.7,1,C13,NA,NA,NA,NA,2013,2013,C13,1,15901
482,15910,9/2/14,2014,9,2,2,162,43.3,1,C13,NA,NA,NA,NA,2013,2013,C13,1,15910
474,15921,9/2/14,2014,9,1,2,183,62.1,1,C13,NA,NA,NA,NA,2013,2013,C13,1,15921
NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,C12,NA,NA,NA,Z_092012_004,2012,2012,C12,0,15922
470,15922,9/2/14,2014,9,1,2,252,159.1,2,C12,NA,1,NA,NA,2012,2012,C12,2,15922
465,15924,9/2/14,2014,9,1,2,183,67.1,1,C13,NA,NA,NA,NA,2013,2013,C13,1,15924
478,15929,9/2/14,2014,9,1,2,257,166.9,3,C11,NA,NA,NA,NA,2011,2011,C11,3,15929
480,15939,9/2/14,2014,9,1,2,160,41.8,2,C12,NA,NA,NA,NA,2012,2012,C12,2,15939
476,15945,9/2/14,2014,9,1,2,178,58.7,1,C13,NA,1,NA,NA,2013,2013,C13,1,15945
471,15950,9/2/14,2014,9,1,2,170,54,1,C13,NA,NA,NA,NA,2013,2013,C13,1,15950
472,15954,9/2/14,2014,9,1,2,247,149.9,2,C12,NA,NA,NA,NA,2012,2012,C12,2,15954
469,15963,9/2/14,2014,9,1,2,171,50.6,1,C13,NA,NA,NA,NA,2013,2013,C13,1,15963
294,17030,9/15/11,2011,9,1,2,147,30,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17030
292,17046,9/15/11,2011,9,1,2,157,36,1,C10,NA,1,NA,NA,2010,2010,C10,1,17046
325,17060,9/15/11,2011,9,1,2,155,36,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17060
326,17062,9/15/11,2011,9,1,2,157,34,1,C10,NA,1,NA,NA,2010,2010,C10,1,17062
424,17062,9/18/12,2012,9,1,2,198,66.9,2,C10,NA,NA,NA,NA,2010,2010,C10,2,17062
324,17063,9/15/11,2011,9,1,2,161,38,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17063
323,17064,9/15/11,2011,9,1,2,148,30,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17064
347,17066,9/15/11,2011,9,2,2,146,29.2,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17066
312,17068,9/15/11,2011,9,1,2,164,40,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17068
293,17072,9/15/11,2011,9,1,2,162,41,1,C10,NA,1,NA,NA,2010,2010,C10,1,17072
310,17073,9/15/11,2011,9,1,2,161,39,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17073
436,17073,9/18/12,2012,9,2,2,210,75.6,2,C10,NA,NA,NA,NA,2010,2010,C10,2,17073
322,17074,9/15/11,2011,9,1,2,168,42,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17074
320,17075,9/15/11,2011,9,1,2,163,40,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17075
291,17076,9/15/11,2011,9,1,2,159,38,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17076
399,17076,9/18/12,2012,9,1,2,197,67.1,2,C10,NA,NA,NA,NA,2010,2010,C10,2,17076
473,15952,9/2/14,2014,9,1,2,249,156.7,3,C11,NA,1,1,NA,2011,2010,C10,4,17076
318,17078,9/15/11,2011,9,1,2,208,83,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17078
409,17078,9/18/12,2012,9,1,2,233,118.8,3,C09,NA,NA,NA,NA,2009,2009,C09,3,17078
288,17080,9/15/11,2011,9,1,2,154,34,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17080
290,17081,9/15/11,2011,9,1,2,152,32,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17081
349,17082,9/15/11,2011,9,2,2,233,118.9,2,C09,NA,1,NA,NA,2009,2009,C09,2,17082
316,17085,9/15/11,2011,9,1,2,156,35,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17085
314,17088,9/15/11,2011,9,1,2,145,28,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17088
289,17089,9/15/11,2011,9,1,2,172,50,1,C10,NA,1,NA,NA,2010,2010,C10,1,17089
434,17089,9/18/12,2012,9,2,2,225,116.1,2,C10,NA,NA,NA,NA,2010,2010,C10,2,17089
308,17095,9/15/11,2011,9,1,2,162,38,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17095
284,17105,9/15/11,2011,9,1,2,169,47,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17105
433,17105,9/18/12,2012,9,2,2,226,111.5,2,C10,NA,NA,NA,NA,2010,2010,C10,2,17105
285,17112,9/15/11,2011,9,1,2,151,34,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17112
281,17113,9/15/11,2011,9,1,2,159,37,1,C10,NA,1,NA,NA,2010,2010,C10,1,17113
287,17116,9/15/11,2011,9,1,2,175,50,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17116
374,17116,9/18/12,2012,9,1,2,211,83.2,2,C10,NA,NA,NA,NA,2010,2010,C10,2,17116
280,17119,9/15/11,2011,9,1,2,175,52,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17119
277,17121,9/15/11,2011,9,1,2,216,102,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17121
282,17123,9/15/11,2011,9,1,2,214,94,2,C09,NA,NA,NA,NA,2009,2009,C09,2,17123
278,17125,9/15/11,2011,9,1,2,175,49,1,C10,NA,NA,NA,NA,2010,2010,C10,1,17125
272,17414,9/15/10,2010,9,2,2,148,30,1,C09,NA,NA,NA,NA,2009,2009,C09,1,17414
